,add,location,Lat,Lon
64,"Valdemarín, Madrid","Parque de Valdemarín, Aravaca, Moncloa-Aravaca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.46685345,-3.787092528171622
65,"Casa de Campo, Madrid","Casa de Campo, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.42406795,-3.755857557288471
66,"Las Tablas, Madrid","Las Tablas, Calle de Palas de Rey, Las Tablas, Valverde, Fuencarral-El Pardo, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.5083428,-3.6694346
67,"La Paz, Madrid","La Paz, Fuencarral-El Pardo, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.482122149999995,-3.695211267895985
68,"Montecarmelo, Madrid","Montecarmelo, Calle del Monasterio de Silos, Montecarmelo, Fuencarral, Fuencarral-El Pardo, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.5049545,-3.6958019
69,"Peñagrande, Madrid","Peñagrande, Fuencarral-El Pardo, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4789641,-3.7258417
70,"Fuencarral, Madrid","Fuencarral, Calle de Barceló, Chueca, Justicia, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4262741,-3.7009067
71,"Tres Olivos - Valverde, Madrid","Tres Olivos, Calle de Afueras a Valverde, Valverde, Fuencarral, Fuencarral-El Pardo, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.500197,-3.6943002
72,"Pilar, Madrid","El Pilar, Fuencarral-El Pardo, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4771334,-3.7089157
73,"Mirasierra, Madrid","Mirasierra, Fuencarral-El Pardo, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4906361,-3.7161379
74,"El Pardo, Madrid","El Pardo, Fuencarral-El Pardo, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.5205538,-3.7780738
75,"Arroyo del Fresno, Madrid","Arroyo del Fresno, Mirasierra, Fuencarral-El Pardo, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.499444,-3.7208721
76,"Fuentelarreina, Madrid","Fuentelarreina, Fuencarral-El Pardo, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4774958,-3.7426018
77,"Sanchinarro, Madrid","Sanchinarro, Valdefuentes, Hortaleza, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4931887,-3.6564023
78,"Conde Orgaz-Piovera, Madrid","Zenit Conde Orgaz, 24, Calle del Moscatelar, Piovera, Hortaleza, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4566911,-3.6475883500000004
79,"Hortaleza, Madrid","Hortaleza, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4725491,-3.6425515
80,"Palomas, Madrid","Palomas, Hortaleza, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4522376,-3.6141158
81,"Virgen del Cortijo - Manoteras, Madrid","Virgen del Cortijo, Avenida de Manoteras, Sanchinarro, Valdefuentes, Hortaleza, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4872436,-3.661223
82,"Valdebebas - Valdefuentes, Madrid","Valdebebas, Valdefuentes, Hortaleza, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4859876,-3.6138643
83,"Pinar del Rey, Madrid","Pinar del Rey, Avenida de la Gran Vía de Hortaleza, Canillas, Hortaleza, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4678284,-3.6486781
