,sq_mt_built,n_rooms,n_bathrooms,buy_price,is_renewal_needed,is_new_development,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_parking,latitud,longitude
1671,88,2,2,338379,0,1,1,0,0,0,0,0,40.4548567,-3.7068193
1673,48,2,1,149000,0,0,1,0,0,0,0,0,40.4693697,-3.705599
1674,60,1,1,360000,0,0,1,0,0,1,0,1,40.5510283,-3.6401109
1675,41,1,1,170000,0,0,1,0,0,0,0,0,40.4693697,-3.705599
1676,55,2,1,279000,0,0,1,0,0,0,1,1,40.4337249,-3.3051754
1677,63,2,1,215000,0,0,0,0,0,1,0,0,40.4566768,-3.7056327
1678,163,3,2,730000,0,0,1,0,0,1,0,0,40.4590889,-3.6919982
1679,56,2,1,260000,0,0,1,0,0,1,1,0,40.4577839,-3.7002633
1680,63,2,1,295000,0,0,1,0,0,0,0,1,40.3221545,-3.8643739
1681,65,2,1,265000,0,0,1,0,0,1,0,0,40.4677065,-3.6999997
1682,80,2,2,349000,0,0,1,0,0,0,0,0,40.4499353,-3.7074156
1684,68,2,1,300000,0,0,1,0,0,0,0,0,40.2317307,-3.0972791
1685,65,2,2,390000,0,0,1,0,0,1,0,1,40.4655157,-3.7018495
1686,57,1,1,360000,0,0,1,0,0,0,0,0,40.4467476,-3.6953759
1688,214,5,3,900000,1,0,1,0,0,0,0,0,40.4534813,-3.6987829
1689,97,2,2,395000,0,0,1,0,0,1,0,1,40.4655157,-3.7018495
1690,80,1,1,225000,0,0,1,0,0,1,0,1,40.8175226,-3.6234748
1692,51,2,1,140000,1,0,0,0,0,0,0,0,40.4541637,-3.7075865
1693,91,3,2,280000,0,0,1,0,0,0,0,1,40.4601673,-3.7044535
1695,101,3,1,220000,0,0,1,0,0,1,0,0,40.4710924,-3.711642
1696,196,4,3,899000,0,0,1,0,0,1,0,0,40.4460617,-3.6909921
1698,89,3,2,558000,0,0,1,0,0,0,1,0,40.4549055,-3.7025412
1699,61,2,1,190000,1,0,0,0,0,0,0,0,40.5327455,-3.6519685
1700,92,3,1,260000,1,0,1,0,0,0,0,0,40.1816603,-3.1062301
1701,112,3,2,270000,0,0,1,0,0,0,0,0,40.4510674,-3.7033718
1702,34,1,1,131250,0,0,0,0,0,0,0,0,40.451787,-3.7049523
1704,50,1,1,140000,1,0,1,0,0,1,0,0,40.4710924,-3.711642
1705,57,3,1,199000,0,0,0,0,0,0,0,0,40.4476882,-3.7040285
1706,60,2,1,226500,0,0,0,0,0,0,0,0,40.4460617,-3.6909921
1707,36,1,1,145000,0,0,1,0,0,0,0,0,40.4659335,-3.7030151
1708,60,2,1,180000,0,0,1,0,0,0,0,0,40.5432957,-3.6294242
1709,70,2,1,230000,0,0,1,0,0,0,0,1,40.4544814,-3.7918769
1710,32,0,1,155000,0,0,1,0,0,0,0,0,40.4596441,-3.6987431
1711,42,0,1,199000,0,0,1,0,0,0,0,1,40.4680336,-3.7081232
1712,230,5,3,825000,1,0,1,0,0,1,1,0,40.4467476,-3.6953759
1714,30,1,1,179900,0,0,1,0,0,0,0,0,40.7082106,-3.9996768
1715,112,3,2,415000,0,0,1,0,0,0,1,1,40.4655387,-3.6911629
1716,87,1,2,295000,0,0,1,0,0,1,0,0,40.4655157,-3.7018495
1717,87,2,2,295000,0,0,1,0,0,1,1,0,40.4655157,-3.7018495
1719,102,3,2,495000,0,0,1,0,0,1,0,0,40.4728253,-3.6887156
1720,145,4,2,595000,0,0,1,0,0,1,1,0,40.4566444,-3.6972806
1721,89,3,1,215000,0,0,1,0,0,0,0,0,40.4172021,-3.7096856
1722,163,4,2,619000,0,0,1,0,0,1,0,1,40.4512454,-3.7035177
1723,55,1,1,425000,0,0,1,0,0,0,0,0,40.4540897,-3.692914
1724,50,2,1,199999,0,0,1,0,0,0,0,0,40.4580443,-3.70259480391415
1725,52,0,1,129000,0,0,1,0,0,0,0,1,40.4667913,-3.7115704
1726,120,4,3,530000,1,0,1,0,0,0,0,0,40.45552875,-3.698295627834776
1727,39,1,1,138000,0,0,1,0,0,0,1,0,40.4563812,-3.7049611
1728,73,2,1,449000,0,0,1,0,0,0,1,0,40.4480236,-3.6969828
1729,75,1,1,370000,0,0,1,0,0,1,0,0,40.083082,-3.4984669
1731,156,3,2,725000,0,0,1,0,0,1,1,0,40.4521511,-3.6964174
1732,60,2,1,199500,0,0,1,0,0,0,1,1,40.3221545,-3.8643739
1736,100,2,2,390000,1,0,0,0,0,0,0,0,40.4538936,-3.6968803
1737,57,2,1,184000,0,0,1,0,0,0,0,0,40.4615507,-3.7054809
1738,192,3,2,630000,0,0,1,0,0,0,0,0,40.4460617,-3.6909921
1739,105,3,2,330000,0,0,1,0,0,1,1,0,40.4655387,-3.6911629
1740,66,2,1,235000,0,0,1,0,0,0,0,0,40.4614219,-3.7076059
1741,125,4,2,300000,0,0,1,0,0,1,1,0,40.4654983,-3.6888321
1742,62,1,1,379900,0,0,1,0,0,1,0,1,40.4640653,-3.6920519
1743,60,2,1,174000,0,0,1,0,0,0,0,0,40.4518486,-3.7056864
1744,105,3,1,350000,0,0,1,0,0,1,0,0,40.4633399,-3.6996107
1747,68,2,1,149000,0,0,1,0,0,1,0,0,40.469683,-3.7037829
1748,62,2,1,130000,0,0,1,0,0,0,0,0,40.4119559,-3.6947364
1750,90,3,1,220000,0,0,1,0,0,1,0,0,40.4639006,-3.7045236
1751,75,2,1,195000,0,0,1,0,0,0,1,0,40.4561826,-3.7144768
1752,89,3,2,365000,0,0,1,0,0,0,0,0,40.4612563,-3.6981076
1754,70,2,2,250000,0,0,0,0,0,0,0,0,40.4602056,-3.4830867
1756,185,1,1,604000,0,0,0,0,0,0,0,0,40.4615507,-3.7054809
1757,51,1,1,185000,0,0,1,0,0,0,0,0,40.4653247,-3.6980869
1758,46,0,1,185000,0,0,0,0,0,0,0,0,40.3867501,-3.4745941
1759,37,1,1,105000,0,0,0,0,0,0,0,0,40.4563812,-3.7049611
1760,65,2,1,190000,0,0,1,0,0,0,0,0,40.4657136,-3.7046635
1761,60,1,1,395000,0,0,0,0,0,0,1,1,40.4670505,-3.2908176
1762,114,3,2,495000,0,0,1,0,0,1,0,0,40.4645436,-3.6942905150645338
1765,45,1,1,299000,0,0,1,0,0,1,1,0,40.4516841,-3.7014798
1766,105,3,1,365000,0,0,0,0,0,0,1,0,40.4471726,-3.7063877
